,002,001,003,005,004,027,026,006,007,008,009,010,011,012,021,022,013,014,015,016,017,018,025,019
Amtala,st67,,,,,,,,,,,,,,,,,,,,,,,
Baruipur,st68,,,,,,,,,,,,,,,,,,,,,,,
Barasat,,st65,,,,,,,,,,,,,,,,,,,,,,
Barrackpore,,st30,,,,,,,,,,,,,,,,,,,,,,
Barrackpore-Muktapukur,,st88,,,,,,,,,,,,,,,,,,,,,,
Barrackpore-Subhash pally,,st87,,,,,,,,,,,,,,,,,,,,,,
DumDum,,st64,,,,,,,,,,,,,,,,,,,,,,
Dunlop Bridge,,st4,,,,,,,,,,,,,,,,,,,,,,
Khardah,,st66,,,,,,,,,,,,,,,,,,,,,,
Madhyamgram,,02516,,,,,,,,,,,,,,,,,,,,,,
Paribesh Bhawan,,st22,,,,,,,,,,,,,,,,,,,,,,
Rajarhat,,st49,,,,,,,,,,,,,,,,,,,,,,
Salt Lake,,st11,,,,,,,,,,,,,,,,,,,,,,
Bankura Town,,,0032,,,,,,,,,,,,,,,,,,,,,
Barjora,,,st61,,,,,,,,,,,,,,,,,,,,,
Bolpur Town,,,,,0043,,,,,,,,,,,,,,,,,,,
Rampurhat Town,,,,,0042,,,,,,,,,,,,,,,,,,,
Suri Town,,,,,0041,,,,,,,,,,,,,,,,,,,
Bardhaman Town,,,,,,st47,,,,,,,,,,,,,,,,,,
Angadpur,,,,,,,st57,,,,,,,,,,,,,,,,,
Asansol,,,,,,,st44,,,,,,,,,,,,,,,,,
Benachiti,,,,,,,st42,,,,,,,,,,,,,,,,,
Bidhannagar,,,,,,,st45,,,,,,,,,,,,,,,,,
Burnpur,,,,,,,st59,,,,,,,,,,,,,,,,,
Jamuria,,,,,,,st58,,,,,,,,,,,,,,,,,
Mangalpur,,,,,,,st56,,,,,,,,,,,,,,,,,
PCBL More,,,,,,,st43,,,,,,,,,,,,,,,,,
Raniganj,,,,,,,st60,,,,,,,,,,,,,,,,,
Ranigunge-Ranisayar,,,,,,,st89,,,,,,,,,,,,,,,,,
Ranigunge-Searsole,,,,,,,st90,,,,,,,,,,,,,,,,,
Coochbihar BN Seal College,,,,,,,,0061,,,,,,,,,,,,,,,,
Uttarbanga Krishi Viswavidyalaya,,,,,,,,0062,,,,,,,,,,,,,,,,
Darjeeling,,,,,,,,,0072,,,,,,,,,,,,,,,
Siliguri City,,,,,,,,,0071,,,,,,,,,,,,,,,
Raigunj College,,,,,,,,,,0081,,,,,,,,,,,,,,
Balurghat College,,,,,,,,,,,0091,,,,,,,,,,,,,
Chinsurah,,,,,,,,,,,,st39,,,,,,,,,,,,
Dankuni,,,,,,,,,,,,st36,,,,,,,,,,,,
Rishra,,,,,,,,,,,,st37,,,,,,,,,,,,
Tribeni,,,,,,,,,,,,st38,,,,,,,,,,,,
Uttarpara,,,,,,,,,,,,st86,,,,,,,,,,,,
Amta,,,,,,,,,,,,,st54,,,,,,,,,,,
Bagnan,,,,,,,,,,,,,st55,,,,,,,,,,,
Bandhaghat,,,,,,,,,,,,,st17,,,,,,,,,,,
Bator,,,,,,,,,,,,,st16,,,,,,,,,,,
Dhulagarh,,,,,,,,,,,,,st52,,,,,,,,,,,
Ghusuri,,,,,,,,,,,,,st48,,,,,,,,,,,
HMC,,,,,,,,,,,,,st18,,,,,,,,,,,
Sankrail,,,,,,,,,,,,,st53,,,,,,,,,,,
Uluberia,,,,,,,,,,,,,st26,,,,,,,,,,,
Jalpaiguri City,,,,,,,,,,,,,,0121,,,,,,,,,,
Jhargram,,,,,,,,,,,,,,,02515,,,,,,,,,
Kalimpong Municipality,,,,,,,,,,,,,,,,0221,,,,,,,,
Baishnabghata,,,,,,,,,,,,,,,,,st1,,,,,,,
Behala Chowrasta,,,,,,,,,,,,,,,,,st2,,,,,,,
Beliaghata,,,,,,,,,,,,,,,,,st3,,,,,,,
Gariahat,,,,,,,,,,,,,,,,,st6,,,,,,,
Hyde Road,,,,,,,,,,,,,,,,,st5,,,,,,,
Minto Park,,,,,,,,,,,,,,,,,st7,,,,,,,
Mominpore,,,,,,,,,,,,,,,,,st8,,,,,,,
Moulali,,,,,,,,,,,,,,,,,st9,,,,,,,
Picnic Garden,,,,,,,,,,,,,,,,,st10,,,,,,,
Shyambazar,,,,,,,,,,,,,,,,,st12,,,,,,,
Tollygunge,,,,,,,,,,,,,,,,,st13,,,,,,,
Topsia,,,,,,,,,,,,,,,,,st14,,,,,,,
Ultadanga,,,,,,,,,,,,,,,,,st15,,,,,,,
Malda WBPCB Office,,,,,,,,,,,,,,,,,,0015,,,,,,
Bhawanipur,,,,,,,,,,,,,,,,,,,st62,,,,,
Bhunia Raichak,,,,,,,,,,,,,,,,,,,st63,,,,,
Supermarket,,,,,,,,,,,,,,,,,,,st19,,,,,
Tamluk,,,,,,,,,,,,,,,,,,,0156,,,,,
WBIIDC,,,,,,,,,,,,,,,,,,,st20,,,,,
Ghatal,,,,,,,,,,,,,,,,,,,,0162,,,,
Kharagpur,,,,,,,,,,,,,,,,,,,,st41,,,,
Medinipur Town,,,,,,,,,,,,,,,,,,,,0161,,,,
Baharampur,,,,,,,,,,,,,,,,,,,,,0171,,,
Kalyani Industrial Area,,,,,,,,,,,,,,,,,,,,,,st33,,
Krishnanagar,,,,,,,,,,,,,,,,,,,,,,st35,,
Ranaghat,,,,,,,,,,,,,,,,,,,,,,0183,,
Purulia Town,,,,,,,,,,,,,,,,,,,,,,,,0191
